template,M,N,K,BM,BN,BK,num_stages,num_warps,grid,correct,wrong_elements,max_abs_diff,trial_times_us,time_us,tops,tops_eff_pct,bw_gbps,bw_eff_pct
bmg_decode,1,2048,1408,8,512,32,2,8,"(1, 4)",1,0,0,21.3393,21.339319999999997,0.2702601582430931,0.11549579412097995,135.57995287572427,29.732445806079884
bmg_decode,4,2048,768,8,512,32,2,16,"(1, 4)",1,0,0,20.4852,20.48516,0.6142452389925195,0.26249796538141856,78.53021406715887,17.22153817262256
bmg_decode,4,2048,1408,32,256,32,2,8,"(1, 8)",1,0,0,20.6453,20.645314999999997,1.1173804807531396,0.4775130259628802,141.5325462459643,31.037839089027266
bmg_decode,32,4096,4096,32,256,32,2,8,"(1, 16)",1,0,0,26.8896,26.889585,39.93151340937393,17.06474932024527,648.3021586238686,142.17152601400628
bmg_decode,32,4096,7168,32,256,32,2,8,"(1, 16)",1,0,0,69.9763,69.976305,26.852635217020964,11.475485135479044,430.3426995752348,94.37339902965675
