template,M,N,K,BM,BN,BK,num_stages,num_warps,grid,correct,wrong_elements,max_abs_diff,trial_times_us,time_us,tops,tops_eff_pct,bw_gbps,bw_eff_pct
bmg_decode,1,2048,1408,8,512,32,2,8,"(1, 4)",1,0,0,19.8971;20.1182;19.3341,19.897135,0.28984916672676747,0.12386716526784936,145.4070648864774,31.88751422949066
bmg_decode,4,2048,768,8,512,32,2,16,"(1, 4)",1,0,0,20.1680;20.2745;19.6156,20.16797,0.6239057277455292,0.2666263793784313,79.76529120184134,17.492388421456432
bmg_decode,4,2048,1408,32,256,32,2,8,"(1, 8)",1,0,0,19.1138;18.8880;19.3508,19.113805,1.206911549008688,0.515774166243029,152.87296276173166,33.52477253546747
bmg_decode,32,4096,4096,32,256,32,2,8,"(1, 16)",1,0,0,25.4557;25.4060;26.0177,25.45573,42.180751602880775,18.025962223453323,684.8193314432548,150.17967794808217
bmg_decode,32,4096,7168,32,256,32,2,8,"(1, 16)",1,0,0,70.0005;69.9232;69.9969,69.996875,26.844744026072593,11.472112831654954,430.2162346533328,94.34566549415192
