template,M,N,K,BM,BN,BK,num_stages,num_warps,grid,correct,wrong_elements,max_abs_diff,trial_times_us,time_us,tops,tops_eff_pct,bw_gbps,bw_eff_pct
triton_mm,1,2048,1408,8,512,32,2,8,"(4,)",1,0,0,21.3445,21.344529999999995,0.2701941902679516,0.1154676026786118,135.54685907818072,29.725188394337877
triton_mm,4,2048,768,8,512,32,2,16,"(4,)",1,0,0,22.1878,22.18776,0.5671105149866413,0.24235492093446212,72.50411938834746,15.900026181655145
triton_mm,4,2048,1408,32,256,32,2,8,"(8,)",1,0,0,32.5440,32.54401,0.7088454065740516,0.30292538742480835,89.7856164621385,19.689828171521604
triton_mm,32,4096,4096,32,256,32,2,8,"(16,)",1,0,0,29.7086,29.708595000000003,36.142463956979455,15.445497417512588,586.7856086765463,128.68105453433031
triton_mm,32,4096,7168,32,256,32,2,8,"(16,)",1,0,0,91.3633,91.36327999999999,20.56677684951767,8.789220875862252,329.60497915573967,72.28179367450431
